,Descricao,Preco
100,"Smartphone Motorola Moto E6i 32GB 2GB RAM  Câmera Dupla 13MP Tela 6.1"" - Pink","R$ 749,90"
101,Smartphone Samsung Galaxy A32 128GB 4G Wi-Fi Tela 6.4`` Dual Chip 4GB RAM Câmera Quádrupla + Selfie 20MP - Preto,"R$ 2.804,78"
102,Smartphone Samsung Galaxy A02s 32GB Tela 6.5 3GB RAM Cam Tripla 13MP 2MP 2MP / Azul,"R$ 1.706,78"
103,"Smartphone Motorola Moto E6s 32GB Dual Chip Android 9.0 Tela Max Vision 6.1"" 4G Câmera 13MP+2MP","R$ 1.584,78"
104,Smartphone Realme 7 Pro Dual SIM 8GB RAM 128GB Laranja,"R$ 2.386,44"
105,"Smartphone LG K62 LMK520BMW 64GB Dual Chip Tela 6.6"" 4G WiFi Câmera Quad 13MP+5MP+2MP+2MP Vermelho","R$ 1.648,90"
106,"Smartphone Nokia 5.4 128GB 4GB RAM Câmera Quádrupla 48.0MP Tela 6,39"" - Roxo","R$ 1.689,90"
107,"Smartphone Motorola Moto G20, 6,5”, 64GB, Android 11, Rosa","R$ 1.707,28"
108,Celular Samsung Galaxy S-20 Fe Dual Chip - Sm-G780Fzrrzto,"R$ 6.457,14"
109,Smartphone Realme 7 Pro Dual SIM 8GB RAM 128GB Cinza,"R$ 2.386,44"
110,Smartphone Samsung Galaxy Note20 Ultra 256gb Branco 5g,"R$ 7.138,95"
111,Smartphone Xiaomí Redimi Note 9 Pro 128gb (Champagne Gold) Dourado,"R$ 1.769,00"
112,Smartphone Samsung Galaxy S21 128gb 5g Violeta Câmera Tripla,"R$ 5.038,95"
113,Celular Vita 3G com base carregadora e teclas grandes,"R$ 279,90"
114,Smartphone LG K41S 32GB Quad Câmera Tela 6.5 Polegadas LMK410BMW,"R$ 1.107,60"
115,Smartphone Samsung Galaxy S21+ 256gb 5g Prata Câmera Tripla,"R$ 6.613,95"
116,Smartphone Samsung Galaxy A02s 32gb Azul 4g Câmera Tripla,"R$ 1.153,95"
117,Smartphone Samsung Galaxy Z Fold2 256gb 5g Preto Ram 12gb,"R$ 13.008,45"
118,Smartphone Samsung Galaxy S21 128gb 5g Branco Câmera Tripla,"R$ 5.038,95"
119,Smartphone Samsung Galaxy A12 64 Gb Vermelho 4g,"R$ 1.573,95"
120,Smartphone Multilaser G Max P9107 4G 32GB,"R$ 659,00"
121,Smartphone Samsung Galaxy A12 64 Gb Azul 4g,"R$ 1.573,95"
122,Smartphone Samsung Galaxy A01 Core 32GB 4G Wi-Fi Tela 5.3`` Dual Chip 2GB RAM Câmera 8MP + Selfie 5MP - Vermelho Absurdo,"R$ 920,90"
123,"Smartphone Multilaser E Lite 3G 32GB 5 MP Android 8.1 GO 4"" Dourado  - P9127","R$ 459,90"
124,Smartphone Xiaomí Redimi Note 9S 64GB 4GB RAM Interstellar Grey,"R$ 1.699,00"
125,Smartphone Samsung Galaxy A10s 32GB 4G Wi-Fi Tela 6.2`` Dual Chip 2GB RAM Câmera Dupla + Selfie 8MP - Azul Absurdo,"R$ 1.198,50"
126,Smartphone Samsung Galaxy Note20 Ultra 256gb Bronze 5g,"R$ 7.138,95"
127,Smartphone Motorola E7 64G 4GB RAM Câm 48MP + 2MP + Frontal 5MP,"R$ 1.443,90"
128,Smartphone Samsung Galaxy A02s Preto 32GB Tela 6.5 3GB RAM Cam Tripla 13MP 2MP 2MP / Preto,"R$ 1.706,78"
129,Smartphone Motorola E6i 32G 2GB RAM Câm 13MP + 2MP + Frontal 5MP,"R$ 1.234,90"
130,Smartphone Motorola Moto G9 Play XT2083-3 Dual SIM 64GB 4GB Ram Azul,"R$ 1.390,00"
131,Smartphone Motorola Moto G9 Play XT2083-3 Dual SIM 64GB Camera System - Azul,"R$ 1.391,00"
132,Smartphone Samsung Galaxy A32 128GB 4 RAM Câm Quádrupla 64MP + 8MP + 5MP + 2MP + Frontal 20MP,"R$ 2.488,90"
133,Smartphone LG K22 32GB Tela 6.2 Quad Core 4G 13MP+2MP - Azul,"R$ 1.100,99"
134,Smartphone Samsung Galaxy S21+ 128gb 5g Preto Câmera Tripla,"R$ 6.088,95"
135,"Smartphone Nokia 2.4 6,5"" Polegadas 3Gb RAM 64GB - Cinza","R$ 1.499,90"
136,Smartphone Motorola Moto G9 Play XT2083-3 Desbloqueio Digital 64GB Azul,"R$ 1.388,00"
137,Smartphone Motorola E7 Power 32G 2GB RAM Câm 13MP + 2MP + Frontal 5MP,"R$ 1.234,90"
138,Smartphone Samsung Galaxy A10s 32GB 4G Wi-Fi Tela 6.2`` Dual Chip 2GB RAM Câmera Dupla + Selfie 8MP - Vermelho Absurdo,"R$ 1.198,50"
139,Smartphone Tecno CAMON 16 (128GB / 6GB RAM),"R$ 1.499,00"
140,Smartphone Samsung Galaxy A71 128 Gb Preto 4g,"R$ 2.455,95"
141,Smartphone Motorola Moto E6S Tela 6.1 64GB 4GB RAM Dual Android,"R$ 1.254,90"
142,Smartphone Samsung Galaxy A01 Android 10.0 Tela 5.7” Octa-Core 32GB 4G Câmera 13MP - Preto Absurdo,"R$ 920,90"
143,Smartphone Samsung Galaxy A02s 32gb Preto 4g Câmera Tripla,"R$ 1.153,95"
144,Smartphone Samsung Galaxy A02 32gb Vermelho 4g Câmera Dupla,"R$ 943,95"
145,Smartphone Samsung Galaxy A01 Core 32GB 4G Wi-Fi Tela 5.3`` Dual Chip 2GB RAM Câmera 8MP + Selfie 5MP - Azul Absurdo,"R$ 920,10"
146,Smartphone Motorola Moto G9 Play XT2083-3 Dual SIM 64GB Azul,"R$ 1.389,00"
147,Smartphone Samsung Galaxy S21 128gb 5g Rosa Câmera Tripla,"R$ 5.038,95"
148,Smartphone Motorola E7 64G 4GB RAM Câm 48MP + 2MP + Frontal 5MP,"R$ 1.443,90"
149,Smartphone Samsung Galaxy A12 64 Gb Preto 4g,"R$ 1.573,95"
150,Smartphone Motorola E6i 32G 2GB RAM Câm 13MP + 2MP + Frontal 5MP,"R$ 1.234,90"
151,Smartphone LG K41S 32GB Quad Câmera Tela 6.5 Polegadas LMK410BMW,"R$ 1.107,60"
152,Smartphone Nokia 2.4 WOLV NK016 Tela 6.5 64GB Android 11,"R$ 1.199,00"
153,Smartphone Samsung Galaxy S21+ 128gb 5g Violeta Câmera Trip,"R$ 6.088,95"
154,"Smartphone Samsung Galaxy A02 32Gb Azul 4g - Quad-Core 2Gb Ram 6,5” Câm. Dupla + Selfie 5mp","R$ 1.028,39"
155,Smartphone Samsung Galaxy A12 64 Gb Branco 4g,"R$ 1.573,95"
156,Celular Samsung Galaxy A72 Azul 128GB 6GB RAM Tela 6.7 Camera 64MP 12MP 8MP 5MP,"R$ 3.999,00"
157,Smartphone Samsung Galaxy A02s 32gb Vermelho 4g,"R$ 1.153,95"
158,Smartphone Samsung Galaxy A72 - 128Gb - Preto,"R$ 2.899,00"
159,Smartphone Moto G10 - 64GB - Cinza Aurora,"R$ 1.599,00"
160,Smartphone Multilaser F Pro P9118 Dual Chip 4G 16GB Tela 5.5Pol Android 9 Preto,"R$ 682,90"
161,Smartphone Motorola Moto E6S 64GB 4GB RAM - Grafite,"R$ 1.699,99"
162,Celular Blu Zoey Flex 3g Dourad,"R$ 799,90"
163,"Smartphone LG K62 LMK520BMW 64GB Dual Chip Tela 6.6"" 4G WiFi Câmera Quad 13MP+5MP+2MP+2MP Azul","R$ 1.648,90"
164,Smartphone Moto G30 - 128GB- Preto Prisma,"R$ 1.849,00"
165,Smartphone Philco Hit Max PCS02P 128GB 4GB RAM Tela 6 Câmera Dupla 12MP + 12MP 4G Android 10 - Preto,"R$ 1.099,90"
166,Celular Blu Zoey Flex 3g Z170l Dual Sim Preto Flip,"R$ 799,90"
167,Celular Blu Grand Max Dual Sim 8gb 1gb Ram Tela 5 Pol,"R$ 549,90"
168,Smartphone F P9130  Multilaser,"R$ 549,00"
169,"Smartphone Caterpillar S61 Preto, Com Tela Ips Full Hd Superbrilhante De 5,2, Gorilla Glass 5, 4G,","R$ 5.499,00"
170,Smartphone Rédmi Note 10 4GB+64GB Versão global Pebble White,"R$ 1.599,00"
171,Smartphone Realme XT Dual SIM 8GB RAM 128GB Pearl Blue,"R$ 2.169,99"
172,Smartphone Motorola G9 Plus 128GB 4G Câmera Quádrupla 64MP 8MP 2MP 2MP Frontal 16MP Azul Índigo,"R$ 1.789,00"
173,Smartphone Lg K52 64gb Verde - Lmk420bmw,"R$ 1.399,90"
174,"Smartphone Samsung Galaxy A12 64GB 4GB RAM  Câmera Quádrupla 48MP Tela 6.5"" - Vermelho","R$ 1.599,90"
175,Smartphone Celular Sony Xperia Xz Premium 4k G8141 64gb,"R$ 2.900,00"
176,Smartphone Samsung Galaxy Note 10 Lite Sm-N770fzkrzto Vermelho,"R$ 3.199,90"
177,Smartphone Samsung Galaxy Note 10 Lite Sm-N770fzsrzto Aura Glow,"R$ 3.199,90"
178,"Smartphone Nokia 5.4 128GB 4GB RAM Câmera Quádrupla 48.0MP Tela 6,39"" - Azul","R$ 1.689,00"
179,"Smartphone Motorola G60 128GB 6GB RAM Tela 6,8"" Câmera Quádrupla Traseira 108MP +  8MP  + 2MP + 2MP Frontal de 32MP Bateria de 6000mAh Azul","R$ 2.953,76"
180,Celular Redimi Note 10 6GB Ram + 128GB de Memória,"R$ 2.100,00"
