,Descricao,Preco
109,Smartphone Motorola Moto E6 Play 32GB 4G Tela 56`` Dual Chip 2GB RAM Câmera 13MP  2MP  Azul Metálico,889.0
110,Smartphone Motorola One Hyper 128GB 4G Tela 65`` Dual Chip 4GB RAM Câmera Dupla  Selfie 32MP  Vermelho Ambar,1999.0
111,Smartphone Motorola Moto G8 64GB 4G Tela 64`` Dual Chip 4GB RAM Câmera 16MP  Selfie 8MP  Azul Capri,1299.0
112,Smartphone Motorola One Macro 64GB 4G Tela 62`` Dual Chip 4GB RAM Câmera Tripla  Selfie 8MP  Ultra Violet,1699.0
113,Smartphone HUAWEI Y9 Prime 128GB   4GB RAM,1929.0
114,Smartphone Samsung Galaxy A32 128GB 4GB RAM 64  Violeta,1599.0
115,Smartphone Xiaomí Redmí S2 Dual SIM 32GB3GB Tela 599 125MP16MP GOLD,785.9
116,Smartphone Samsung Galaxy A32 128GB 4GB RAM 64  Azul,2199.9
117,Smartphone Xiaomí Redmí S2 Dual SIM 3GB32GB Tela 599 125MP16MP  Rose Gold,783.89
118,Smartphone Xiaomí Redmí 6A Dual SIM 32GB2GB  545 13MP  Preto,820.89
119,Smartphone Xiaomí Poco X3 Pro 128Gb 6Gb Ram Global Bronze,2330.94
120,Smartphone Realme 8 Pro 8GB Ram Tela 64 128GB Camera Quádrupla 108822MP  Azul,2680.78
121,Smartphone Xiaomí Redmí 9 64Gb 4Gb Ram Dual Sim Global,1159.0
122,Smartphone Xiaomí Redmí S2 Dual SIM 32GB Tela 599 125MP16MP OS 810  Azul,780.78
123,Smartphone Redmí Mi A2 4gb64gb Dual Sim 12MP  20MP Tela 599,1120.0
124,SMARTPHONE LG K22 K200BMW TELA 62 HD DUAL QUAD CORE 13GHz ANDROID 10 32GB 2GB RAM TITANIO DESBLOQUEADO CLARO,889.0
125,Smartphone Motorola Moto G6 32gb Tela 57`` 4gb Ram Preto,1298.0
126,Celular Para Idoso Ipro A3G Dual Sim 18 Câmera e Radio FM,172.9
127,Celular Para Idoso Ipro A8 Dual SIM 24 Câmera e Radio FM,139.9
128,Celular Para Idoso Ipro A16 Dual SIM 24 Câmera e Radio FM,135.9
129,Celular Samsung Galaxy A32 128GB Octa Core Câmera Quádrupla,2774.9
130,Smartphone Xi Ao Mi Mi  9 Dual Sim 128gb 6gb Ram Versão Global Preto,3198.0
131,Smartphone LG K11 Alpha 16gb Dual Sim 53`` 13mpx 5mpx 2gb Preto,898.0
132,Smartphone Motorola Moto G20 Rosa Tela de 65 And 11 Câm Tras de 48822MP Frontal de 13MP 4GB RAM 64GB,1699.0
133,SmartPhone Moto G6 PLAY 32GB Indigo Black,1285.0
134,SmartPhone 6 Blue 32GB,1420.0
135,Smartphone Positivo S513 Twist 3 64Gb Tela 55 3G Preto 32GB32GB CARTÃO SD,599.0
136,Smartphone Xi Ao Mi S2 Dual 32gb 3gb Ram Versão Global Cinza,1198.0
137,Smartphone Nokia 54 128GB 4GB RAM Tela 639  Azul HMD Connect  Caixa de Som Speaker Flash 15W  NK030x,2067.8
138,Smartphone Xi Ao Mi Mi  9 Dual Sim 64gb 6gb Ram Versão Global Azul,2998.0
139,Smartphone Xi Ao Mi Go Dual Sim 16gb Tela 5`` 1gb Ram Azul,898.0
140,Smartphone Xi Ao Mi Poco phone F1 128gb 6gb Dual Versão Global Azul,2398.0
141,Smartphone Motorola G9 Play 64Gb 4Gb Ram Tela 65 Câmera Tripla Traseira 48MP  2MP  2Mp Frontal de 8MP Bateria 5000Mah Azul Safira,1545.49
142,Smartphone Motorola G30 128GB 4G WiFi Tela 65`` Dual Chip 4GB RAM Câmera Quádrupla  Selfie 13MP  White Lilac,2099.0
143,Smartphone Xi Ao Mi Redmi 6 Dual Chip 64gb 4gb Ram Dourado,1298.0
144,Smartphone Motorola Moto E6 Plus 32GB 4G Tela 61`` Dual Chip 2GB RAM Câmera 13MP  8MP  Azul Neturo,1099.0
145,SmartPhone Moto X4 64Gb Super Black,1800.0
146,Smartphone Motorola Moto E6 Plus 32GB 4G Tela 61`` Dual Chip 2GB RAM Câmera 13MP  8MP Rubi,1999.0
147,Smartphone Positivo Twist 3 Pro s533 32GB Dual Chip Android™ Oreo ™ Go Edition Tela 57 Quad Core 3G Câmera 8MP,639.99
148,Smartphone Asus Zenfone 4 64gb Snapdragon 630 Novo Preto,1398.0
149,Smartphone Motorola G30 128GB 4G WiFi Tela 65`` Dual Chip 4GB RAM Câmera Quádrupla  Selfie 13MP  Dark Prism,2099.0
150,Smartphone Xiaomí Redmí 9C 64Gb 3Gb Ram Global,1076.64
151,Smartphone Xiaomí Redmí 9C 64Gb 3Gb Ram Global,1076.64
152,Smartphone Samsung Galaxy S20 FE Cloud Lavender 256GB 8GB RAM Tela Infinita de 65” Câmera Traseira Tripla Android 11 e Processador OctaCore,2999.0
153,Smartphone Samsung Galaxy A31 Azul 128GB 4GB RAM Tela Infinita de 64 Câmera Traseira Quádrupla Leitor Digital na Tela e Android 100,1699.0
154,Smartphone Positivo S509C Twist 3 Fit 32Gb Tela 5 3G Grafite,399.99
155,Smartphone Positivo Twist 3 Fit S509C 32GB Dual Chip Tela 5 3G WiFi Câmera 5MP Dourado,631.9
156,Smartphone Xiaomi Redmi Note 10 Cinza 64GB 4GB RAM Tela de 643” Câmera Traseira Quádrupla Android 11 e Processador Octa Core,1575.0
157,Celular Lg B220,144.0
158,Smartphone Motorola Moto E7 Aquamarine 32GB 2GB RAM Tela de 65” Câmera Traseira Dupla Android 10 e Processador OctaCore,889.0
159,Celular Positivo P70s 256mb 512mb Whatsapp Facebook Música,284.9
160,Celular LG GM750 Wifi Windows Mobile Câmera 5MP,109.99
161,Smartphone Samsung Galaxy A02 Preto 32GB Tela Infinita de 65 Câmera Traseira Dupla Android 100 Dual Chip e Processador QuadCore,749.0
162,Smartphone E lite 32gb dourado tela 40 pol 3g quad core camera traseira 5mp  5mp frontal  p9127  Multilaser,503.43
163,Smartphone Motorola Moto G9 Play 64GB 4GB RAM Câmera Tripla 48MP Tela 65  Verde Turquesa,1399.0
164,Celular Simples Dual Chip Lg B220 Desbloqueado 32Mb 2G,109.9
165,Smartphone Xiaomi Redmi Note 10 Pro Bronze 128GB 8GB RAM Tela de 667” Câmera Traseira Quádrupla Android 11 e Processador Octa Core,3399.0
166,Smartphone Xiaomí Redimi Note 8 PRO 128gb Versão Global Azul,1799.0
167,SmartPhone Moto G6 32GB Silver,1285.0
168,SmartPhone Samsung Galaxy J8 32GB,1750.0
169,Smartphone Xiaomí Poco M3 Azul 128GB Tela de 653 4GB de RAM Bateria 6000mAh Câmera Traseira Tripla Android 10 e Processador OctaCore,1559.95
170,Smartphone Xiaomí Redimi Note 9 Pro 128gb Glacier White 4 GB RAM,1769.0
171,Celular Motorola Moto G60 Azul 128gb Tela 68 6gb Ram,2699.0
172,Smartphone Samsung Galaxy A52 128gb Preto 5g,3043.95
173,Smartphone Moto G20 64GB 4G WiFi Tela 65`` Dual Chip 4GB RAM Câmera Quádrupla  Selfie 13MP  Pink,1489.0
174,Smartphone Motorola Moto G20 64GB 4GB RAM 65 Câm Quádrupla de 48 MP  8 MP  2 MP  2 MP,1489.0
175,Smartphone Positivo Twist 2 Go S541 8GB Dual Sim 5 pol 8MP5MP  Preto,430.0
176,Smartphone Multilaser E Lite Dual Sim 32 Gb Preto 512 Mb Ram  P9126,359.0
177,Smartphone Multilaser F P9130 32GB Dual Chip Tela 55 Câmera 5MP Frontal 5MP Android 9 Preto,549.0
178,Celular Samsung Galaxy A02S 32Gb Dual  SmA025Mzkvzto,1807.15
179,Smartphone Motorola Xt20951 Moto E7 64gb,1950.78
180,Celular Samsung Galaxy A02S 32Gb Dual  SmA025Mzkvzto,1807.15
181,Smartphone Motorola Xt20951 Moto E7 64gb,1950.78
182,Smartphone Motorola Moto E7 64GB 4GB RAM Câmera Dupla 48MP  2MP Frontal 5MP Tela 65” Android 10  Cobre,1536.9
183,SmartPhone Moto e5 Plus 32GB black,1230.0
184,Smartphone Xi Ao Mi Redmi 6 Dual Chip 64gb 4gb Ram Preto,1298.0
185,Smartphone Multi F Pro 16GB 4G P9119 Dourado  Micro SD 4GB,889.99
186,SmartPhone A3 4GB 128GB,2195.0
187,Smartphone Xiaomí Redmí 9t 128GB 4GB RAM Tela FHD 653 NFC Câmera Quadrupla 48MP 6000mAh Dual Sim Android 10 Processador OctaCore  Ci,1699.9
188,SmartPhone 8A 32GB,1100.0
189,Smartphone Motorola G9 Plus 128GB Azul Índigo Câmera  64MP Tela 68 XT20871,1999.0
190,Smartphone Motorola Moto G20 64GB 4GB RAM  Azul,1799.9
191,Celular Samsung Galaxy S21 Plus 5g Prata 128gb Tela 67,6999.0
192,SmartPhone S2 Rose Gold 64GB,1285.0
193,SmartPhone A3 64GB,2195.0
194,Smartphone LG K22 LMK200BAW 3GB 64GB 62 13Mp2Mp QuadCore Vermelho,906.0
195,Smartphone Multi F Pro 16GB 4G P9118  Micro SD 4GB Preto,889.99
196,Celular Xiaomi Redmi 9i 128Gb 4Gb Ram Versão global indiano   Sea Blue,1099.99
197,Smartphone Xiaomí Redmí Note 10 128Gb 4Gb Ram Global Cinza,1999.95
198,SmartPhone Lenovo K6 16GB,850.0
199,SmartPhone Zenfone 3 32GB,1360.0
200,Smartphone Samsung Galaxy A01 M Duos 32 GB,899.0
201,Smartphone Motorola Moto G9 Power 128GB Tela 68 Câmera Tripla 64MP 2MP 2MP Purple,1999.0
202,Smartphone Multilaser G Pro 65”HD 32GB 2RAM 4G P9125 Preto,1249.99
203,Smartphone Xi Ao Mi 6a 32gb Dual 2gb Ram Versão Global Preto,998.0
204,SmartPhone 6 4GB 64GB black,1420.0
205,Smartphone Xperia XZ 64GB 3memoria RAM Novo,3890.0
206,Smartphone Motorola Moto E7 Power 32GB 2GB RAM 5000mAh Tela 65” Android 10   Vermelho Coral,1287.9
207,SmartPhone Moto e5 Plus 32GB black,1230.0
208,Smartphone Note 10 128GB 4GB RAM  Lake Green,1966.36
209,Celular Blu Joy J010 Dual Sim tecla SOS Idoso,279.0
210,Smartphone Xiaomí Redmí Note 10 128Gb 4Gb Ram Global Branco,1999.95
211,SmartPhone 8 32GB Spaphire Blue,1420.0
212,SmartPhone 9 Piano Black 64GB,4135.0
213,Smartphone Motorola Moto G20 65” 64GB Android 11 Azul,1666.61
214,Smartphone Multilaser E Lite 32GB Tela 40 3G Quad Core Camera traseira 5MP  5MP frontal P9126 [outlet],448.9
215,Smartphone Nokia C2 16GB 4G 1GB RAM 57 Câmera 5MP  Selfie 5MP Dual Chip,799.0
216,Celular Motorola Moto G10 Cinza Aurora 64gb Tela 65 4gb Ram,1699.0
217,Smartphone Multilaser G 32GB Preto Tela 55 Pol Processador Octa Core 4G Sensor de Digitais Android 90 GO  P9132X [outlet],606.99
218,Smartphone Multilaser E Lite 32GB Tela 40 3G Quad Core Camera traseira 5MP  5MP frontal P9126 [outlet],448.9
219,Smartphone realme 7 Pro Dual Chip Tela 64 Super AMOLED Carr,2470.0
